window_idx,start_time,end_time,duration
146,204.4,206.4,2.0
147,205.8,207.8,2.0
148,207.2,209.2,2.0
149,208.6,210.6,2.0
150,210.0,212.0,2.0
151,211.4,213.4,2.0
152,212.8,214.8,2.0
153,214.2,216.2,2.0
154,215.6,217.6,2.0
155,217.0,219.0,2.0
156,218.4,220.4,2.0
157,219.8,221.8,2.0
158,221.2,223.2,2.0
159,222.6,224.6,2.0
160,224.0,226.0,2.0
161,225.4,227.4,2.0
162,226.8,228.8,2.0
163,228.2,230.2,2.0
164,229.6,231.6,2.0
165,231.0,233.0,2.0
166,232.4,234.4,2.0
167,233.8,235.8,2.0
168,235.2,237.2,2.0
169,236.6,238.6,2.0
170,238.0,240.0,2.0
171,239.4,241.4,2.0
172,240.8,242.8,2.0
173,242.2,244.2,2.0
174,243.6,245.6,2.0
175,245.0,247.0,2.0
176,246.4,248.4,2.0
177,247.8,249.8,2.0
178,249.2,251.2,2.0
179,250.6,252.6,2.0
180,252.0,254.0,2.0
181,253.4,255.4,2.0
182,254.8,256.8,2.0
183,256.2,258.2,2.0
184,257.6,259.6,2.0
185,259.0,261.0,2.0
186,260.4,262.4,2.0
187,261.8,263.8,2.0
188,263.2,265.2,2.0
189,264.6,266.6,2.0
190,266.0,268.0,2.0
191,267.4,269.4,2.0
192,268.8,270.8,2.0
193,270.2,272.2,2.0
194,271.6,273.6,2.0
195,273.0,275.0,2.0
196,274.4,276.4,2.0
197,275.8,277.8,2.0
198,277.2,279.2,2.0
199,278.6,280.6,2.0
200,280.0,282.0,2.0
201,281.4,283.4,2.0
202,282.8,284.8,2.0
203,284.2,286.2,2.0
204,285.6,287.6,2.0
205,287.0,289.0,2.0
206,288.4,290.4,2.0
207,289.8,291.8,2.0
208,291.2,293.2,2.0
209,292.6,294.6,2.0
210,294.0,296.0,2.0
211,295.4,297.4,2.0
212,296.8,298.8,2.0
213,298.2,300.2,2.0
214,299.6,301.6,2.0
215,301.0,303.0,2.0
216,302.4,304.4,2.0
217,303.8,305.8,2.0
218,305.2,307.2,2.0
219,306.6,308.6,2.0
220,308.0,310.0,2.0
221,309.4,311.4,2.0
222,310.8,312.8,2.0
223,312.2,314.2,2.0
224,313.6,315.6,2.0
225,315.0,317.0,2.0
226,316.4,318.4,2.0
227,317.8,319.8,2.0
